team,name,weightclass,win,loss,draw,nc
Elevation Fight Team,Alistair Overeem,0,47,19,0,1
Elevation Fight Team,Neil Magny,0,25,8,0,0
Elevation Fight Team,Drew Dober,0,23,11,0,1
Elevation Fight Team,Justin Gaethje,0,22,3,0,0
Elevation Fight Team,Bojan Velickovic,0,20,10,2,0
Elevation Fight Team,Josh Copeland,0,18,7,1,0
Elevation Fight Team,Andrew Kapel,0,16,7,0,0
Elevation Fight Team,Curtis Blaydes,0,15,3,0,1
Elevation Fight Team,Tyler Toner,0,15,7,0,1
Elevation Fight Team,Cory Sandhagen,0,14,3,0,0
Elevation Fight Team,Jarred Mercado,0,14,6,0,0
Elevation Fight Team,Autin Hubbard,0,13,6,0,0
Elevation Fight Team,Montana De La Rosa,0,12,6,1,0
Elevation Fight Team,Brandon Thatch,0,11,5,0,0
Elevation Fight Team,Josh Wick,0,11,5,0,0
Elevation Fight Team,Cory Galloway,0,11,10,0,0
Elevation Fight Team,Carrington Banks,0,10,2,0,0
Elevation Fight Team,Jose Mariscal,0,10,6,0,1
Elevation Fight Team,Le'Ville Simpson,0,10,6,0,0
Elevation Fight Team,Anthony Adams,0,9,2,0,0
Elevation Fight Team,Ty Flores,0,8,3,0,0
Elevation Fight Team,Arut Pogosjan,0,8,3,0,0
Elevation Fight Team,Matt Jones,0,8,4,0,0
Elevation Fight Team,Justin Wetzell,0,7,1,0,0
Elevation Fight Team,Mallory Martin,0,7,4,0,0
Elevation Fight Team,Muhammadjon Naimov,0,6,2,0,0
Elevation Fight Team,Tywan Claxton,0,6,3,0,0
Elevation Fight Team,Benjamin Bennett,0,5,0,0,0
Elevation Fight Team,Zac Pauga,0,5,0,0,0
Elevation Fight Team,Grace Cleveland,0,5,0,0,0
Elevation Fight Team,Lance Wright,0,5,2,0,0
Elevation Fight Team,Josh March,0,5,3,0,0
Elevation Fight Team,Randy Rowland,0,4,5,0,0
Elevation Fight Team,Shana Dobson,0,4,5,0,0
Elevation Fight Team,Ryan Charlebois,0,3,0,0,0
Elevation Fight Team,Jovan Askew,0,3,0,0,0
Elevation Fight Team,Claire Guthrie,0,3,1,0,0
Elevation Fight Team,Caleb Crump,0,3,2,1,0
Elevation Fight Team,Carlos Calderson,0,2,0,0,1
Elevation Fight Team,Ky Bennett,0,2,2,0,0
Elevation Fight Team,Michael Santos,0,2,3,0,0
Elevation Fight Team,Bryanna Fissori,0,2,5,0,0
Elevation Fight Team,Evan Arredondo,0,1,0,0,0
Elevation Fight Team,Nick Lancaster,0,7,2,0,0
